,name,wm_ID,rating,num_of_rating,price,brand,connection,type,battery,microphone,noise,water,weight,driver,impedance,frequency response,sensitivity,UPC,model number,manufacturerID,RecommendedUse,HeadphoneStyle,Wireless,CompatibleDevices,HeadphoneType,WirelessTechnology
206,"Bluetooth Headset, Wireless Business Bluetooth V5.0 Earpiece Ultralight HD Headphones Hands-Free Earphones with Noise Cancellation Microphone, Compatible with Cell Phones for Office/Work Out/Truck",,3.0,1 ratings,$10.98 ,,wireless,,,mic,noise reduction,waterproof,lightweight,,,,,,,,,,,,,
207,"Sport Headphones, Woozik Trail Wireless Earbuds, Wireless Headphones with Microphone, Waterproof Stereo Headset for Running, Gym, Workouts (White)",,4.7,3 ratings,$9.99 ,,wireless,,,mic,noise cancellation,waterproof,,,,,,,,,,,Y,IOS,In-EarHeadphones,Android
208,"Bose QuietComfort Noise Cancelling Earbuds – True Wireless Headphones, Black",Walmart #  585374518,3.7,10 ratings,$279.00 ,,wireless,,,mic,noise cancelling,0,,,,,,,,,Portableelectronics,In-Ear,Y,Bluetooth,Noise-CancelingHeadphones|Earbuds|WirelessHeadphones|In-earHeadphones,Bluetooth
209,Bose Noise Cancelling Wireless Headphones 700 with Google Assistant,Walmart #  575563048,4.7,235 ratings,$379.00 ,,wireless,,,mic,noise cancelling,0,lightweight,,,,,,,,,Over-Ear,Y,Bluetooth,On-Ear&Over-Ear,Bluetooth
210,Walkers Razor Flat Dark Earth American Flag,,4.4,7 ratings,$47.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,N,,On-Ear&Over-Ear,
211,Apple AirPods Pro,Walmart #  577856461,4.6,2245 ratings,$219.00 ,,wireless,in ear,,0,noise cancellation,water resist,,,,,,,,,1,In-Ear,TrueWireless,1,In-EarHeadphones,Bluetooth
212,"ONIKUMA K10 Gaming Headset,Stereo Bass Surround RGB Noise Cancelling Over Ear Headphones with Mic,for PS4 Xbox One PC Nintendo Switch Tablet Smartphone",,4.8,12 ratings,$35.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,,,,
213,"Bluetooth 5.0 True Wireless Earbuds Headphones w/ Charging Case, One-Step Pairing, IP67 Waterproof, 20Hrs Playtime In-Ear Headset Earphone Hands-free Earpiece Built-in Mic for iPhone/Android Black",Walmart #  586219737,4.6,86 ratings,$28.99 ,,wireless,,,mic,0,waterproof,lightweight,,,,,,,,,,Y,,,Bluetooth
214,Beats Studio3 Wireless Over-Ear Noise Cancelling Headphones - Matte Black,Walmart #  571298612,4.1,127 ratings,$229.99 ,,wireless,on ear,,mic,noise canceling,0,,,,,,,,,Portableelectronics,On-Ear&Over-Ear|DJ,Y,iPhone|MacBook|iPad|AppleWatch|AppleTV|iPodTouch,WirelessHeadphones,Bluetooth
215,"Bose QuietComfort Noise Cancelling Earbuds – True Wireless Headphones, Black",Walmart #  585374518,3.7,10 ratings,$279.00 ,,wireless,,,mic,noise cancelling,0,,,,,,,,,Portableelectronics,In-Ear,Y,Bluetooth,Noise-CancelingHeadphones|Earbuds|WirelessHeadphones|In-earHeadphones,Bluetooth
216,Bose Noise Cancelling Wireless Headphones 700 with Google Assistant,Walmart #  575563048,4.7,235 ratings,$379.00 ,,wireless,,,mic,noise cancelling,0,lightweight,,,,,,,,,Over-Ear,Y,Bluetooth,On-Ear&Over-Ear,Bluetooth
217,Walkers Razor Flat Dark Earth American Flag,,4.4,7 ratings,$47.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,N,,On-Ear&Over-Ear,
218,Apple AirPods Pro,Walmart #  577856461,4.6,2245 ratings,$219.00 ,,wireless,in ear,,0,noise cancellation,water resist,,,,,,,,,1,In-Ear,TrueWireless,1,In-EarHeadphones,Bluetooth
219,"ONIKUMA K10 Gaming Headset,Stereo Bass Surround RGB Noise Cancelling Over Ear Headphones with Mic,for PS4 Xbox One PC Nintendo Switch Tablet Smartphone",,4.8,12 ratings,$35.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,,,,
220,"Bluetooth 5.0 True Wireless Earbuds Headphones w/ Charging Case, One-Step Pairing, IP67 Waterproof, 20Hrs Playtime In-Ear Headset Earphone Hands-free Earpiece Built-in Mic for iPhone/Android Black",Walmart #  586219737,4.6,86 ratings,$28.99 ,,wireless,,,mic,0,waterproof,lightweight,,,,,,,,,,Y,,,Bluetooth
221,Beats Studio3 Wireless Over-Ear Noise Cancelling Headphones - Matte Black,Walmart #  571298612,4.1,127 ratings,$229.99 ,,wireless,on ear,,mic,noise canceling,0,,,,,,,,,Portableelectronics,On-Ear&Over-Ear|DJ,Y,iPhone|MacBook|iPad|AppleWatch|AppleTV|iPodTouch,WirelessHeadphones,Bluetooth
222,"Bose QuietComfort Noise Cancelling Earbuds – True Wireless Headphones, Black",Walmart #  585374518,3.7,10 ratings,$279.00 ,,wireless,,,mic,noise cancelling,0,,,,,,,,,Portableelectronics,In-Ear,Y,Bluetooth,Noise-CancelingHeadphones|Earbuds|WirelessHeadphones|In-earHeadphones,Bluetooth
223,Bose Noise Cancelling Wireless Headphones 700 with Google Assistant,Walmart #  575563048,4.7,235 ratings,$379.00 ,,wireless,,,mic,noise cancelling,0,lightweight,,,,,,,,,Over-Ear,Y,Bluetooth,On-Ear&Over-Ear,Bluetooth
224,Walkers Razor Flat Dark Earth American Flag,,4.4,7 ratings,$47.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,N,,On-Ear&Over-Ear,
225,Apple AirPods Pro,Walmart #  577856461,4.6,2245 ratings,$219.00 ,,wireless,in ear,,0,noise cancellation,water resist,,,,,,,,,1,In-Ear,TrueWireless,1,In-EarHeadphones,Bluetooth
226,"ONIKUMA K10 Gaming Headset,Stereo Bass Surround RGB Noise Cancelling Over Ear Headphones with Mic,for PS4 Xbox One PC Nintendo Switch Tablet Smartphone",,4.8,12 ratings,$35.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,,,,
227,"Bluetooth 5.0 True Wireless Earbuds Headphones w/ Charging Case, One-Step Pairing, IP67 Waterproof, 20Hrs Playtime In-Ear Headset Earphone Hands-free Earpiece Built-in Mic for iPhone/Android Black",Walmart #  586219737,4.6,86 ratings,$28.99 ,,wireless,,,mic,0,waterproof,lightweight,,,,,,,,,,Y,,,Bluetooth
228,Beats Studio3 Wireless Over-Ear Noise Cancelling Headphones - Matte Black,Walmart #  571298612,4.1,127 ratings,$229.99 ,,wireless,on ear,,mic,noise canceling,0,,,,,,,,,Portableelectronics,On-Ear&Over-Ear|DJ,Y,iPhone|MacBook|iPad|AppleWatch|AppleTV|iPodTouch,WirelessHeadphones,Bluetooth
229,"Bose QuietComfort Noise Cancelling Earbuds – True Wireless Headphones, Black",Walmart #  585374518,3.7,10 ratings,$279.00 ,,wireless,,,mic,noise cancelling,0,,,,,,,,,Portableelectronics,In-Ear,Y,Bluetooth,Noise-CancelingHeadphones|Earbuds|WirelessHeadphones|In-earHeadphones,Bluetooth
230,Bose Noise Cancelling Wireless Headphones 700 with Google Assistant,Walmart #  575563048,4.7,235 ratings,$379.00 ,,wireless,,,mic,noise cancelling,0,lightweight,,,,,,,,,Over-Ear,Y,Bluetooth,On-Ear&Over-Ear,Bluetooth
231,Walkers Razor Flat Dark Earth American Flag,,4.4,7 ratings,$47.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,N,,On-Ear&Over-Ear,
232,Apple AirPods Pro,Walmart #  577856461,4.6,2245 ratings,$219.00 ,,wireless,in ear,,0,noise cancellation,water resist,,,,,,,,,1,In-Ear,TrueWireless,1,In-EarHeadphones,Bluetooth
233,"ONIKUMA K10 Gaming Headset,Stereo Bass Surround RGB Noise Cancelling Over Ear Headphones with Mic,for PS4 Xbox One PC Nintendo Switch Tablet Smartphone",,4.8,12 ratings,$35.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,,,,
234,Walkers Razor Flat Dark Earth American Flag,,4.4,7 ratings,$47.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,N,,On-Ear&Over-Ear,
235,Apple AirPods Pro,Walmart #  577856461,4.6,2245 ratings,$219.00 ,,wireless,in ear,,0,noise cancellation,water resist,,,,,,,,,1,In-Ear,TrueWireless,1,In-EarHeadphones,Bluetooth
236,"ONIKUMA K10 Gaming Headset,Stereo Bass Surround RGB Noise Cancelling Over Ear Headphones with Mic,for PS4 Xbox One PC Nintendo Switch Tablet Smartphone",,4.8,12 ratings,$35.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,,,,
237,"Bluetooth 5.0 True Wireless Earbuds Headphones w/ Charging Case, One-Step Pairing, IP67 Waterproof, 20Hrs Playtime In-Ear Headset Earphone Hands-free Earpiece Built-in Mic for iPhone/Android Black",Walmart #  586219737,4.6,86 ratings,$28.99 ,,wireless,,,mic,0,waterproof,lightweight,,,,,,,,,,Y,,,Bluetooth
238,"Bose QuietComfort Noise Cancelling Earbuds – True Wireless Headphones, Black",Walmart #  585374518,3.7,10 ratings,$279.00 ,,wireless,,,mic,noise cancelling,0,,,,,,,,,Portableelectronics,In-Ear,Y,Bluetooth,Noise-CancelingHeadphones|Earbuds|WirelessHeadphones|In-earHeadphones,Bluetooth
239,Beats Studio3 Wireless Over-Ear Noise Cancelling Headphones - Matte Black,Walmart #  571298612,4.1,127 ratings,$229.99 ,,wireless,on ear,,mic,noise canceling,0,,,,,,,,,Portableelectronics,On-Ear&Over-Ear|DJ,Y,iPhone|MacBook|iPad|AppleWatch|AppleTV|iPodTouch,WirelessHeadphones,Bluetooth
240,Bose Noise Cancelling Wireless Headphones 700 with Google Assistant,Walmart #  575563048,4.7,235 ratings,$379.00 ,,wireless,,,mic,noise cancelling,0,lightweight,,,,,,,,,Over-Ear,Y,Bluetooth,On-Ear&Over-Ear,Bluetooth
241,"Bose QuietComfort Noise Cancelling Earbuds – True Wireless Headphones, Black",Walmart #  585374518,3.7,10 ratings,$279.00 ,,wireless,,,mic,noise cancelling,0,,,,,,,,,Portableelectronics,In-Ear,Y,Bluetooth,Noise-CancelingHeadphones|Earbuds|WirelessHeadphones|In-earHeadphones,Bluetooth
242,Bose Noise Cancelling Wireless Headphones 700 with Google Assistant,Walmart #  575563048,4.7,235 ratings,$379.00 ,,wireless,,,mic,noise cancelling,0,lightweight,,,,,,,,,Over-Ear,Y,Bluetooth,On-Ear&Over-Ear,Bluetooth
243,Walkers Razor Flat Dark Earth American Flag,,4.4,7 ratings,$47.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,N,,On-Ear&Over-Ear,
244,Apple AirPods Pro,Walmart #  577856461,4.6,2245 ratings,$219.00 ,,wireless,in ear,,0,noise cancellation,water resist,,,,,,,,,1,In-Ear,TrueWireless,1,In-EarHeadphones,Bluetooth
245,"ONIKUMA K10 Gaming Headset,Stereo Bass Surround RGB Noise Cancelling Over Ear Headphones with Mic,for PS4 Xbox One PC Nintendo Switch Tablet Smartphone",,4.8,12 ratings,$35.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,,,,
246,"Bluetooth 5.0 True Wireless Earbuds Headphones w/ Charging Case, One-Step Pairing, IP67 Waterproof, 20Hrs Playtime In-Ear Headset Earphone Hands-free Earpiece Built-in Mic for iPhone/Android Black",Walmart #  586219737,4.6,86 ratings,$28.99 ,,wireless,,,mic,0,waterproof,lightweight,,,,,,,,,,Y,,,Bluetooth
247,Beats Studio3 Wireless Over-Ear Noise Cancelling Headphones - Matte Black,Walmart #  571298612,4.1,127 ratings,$229.99 ,,wireless,on ear,,mic,noise canceling,0,,,,,,,,,Portableelectronics,On-Ear&Over-Ear|DJ,Y,iPhone|MacBook|iPad|AppleWatch|AppleTV|iPodTouch,WirelessHeadphones,Bluetooth
248,"Bose QuietComfort Noise Cancelling Earbuds – True Wireless Headphones, Black",Walmart #  585374518,3.7,10 ratings,$279.00 ,,wireless,,,mic,noise cancelling,0,,,,,,,,,Portableelectronics,In-Ear,Y,Bluetooth,Noise-CancelingHeadphones|Earbuds|WirelessHeadphones|In-earHeadphones,Bluetooth
249,Bose Noise Cancelling Wireless Headphones 700 with Google Assistant,Walmart #  575563048,4.7,235 ratings,$379.00 ,,wireless,,,mic,noise cancelling,0,lightweight,,,,,,,,,Over-Ear,Y,Bluetooth,On-Ear&Over-Ear,Bluetooth
250,Walkers Razor Flat Dark Earth American Flag,,4.4,7 ratings,$47.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,N,,On-Ear&Over-Ear,
251,Apple AirPods Pro,Walmart #  577856461,4.6,2245 ratings,$219.00 ,,wireless,in ear,,0,noise cancellation,water resist,,,,,,,,,1,In-Ear,TrueWireless,1,In-EarHeadphones,Bluetooth
252,"ONIKUMA K10 Gaming Headset,Stereo Bass Surround RGB Noise Cancelling Over Ear Headphones with Mic,for PS4 Xbox One PC Nintendo Switch Tablet Smartphone",,4.8,12 ratings,$35.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,,,,
253,"Bluetooth 5.0 True Wireless Earbuds Headphones w/ Charging Case, One-Step Pairing, IP67 Waterproof, 20Hrs Playtime In-Ear Headset Earphone Hands-free Earpiece Built-in Mic for iPhone/Android Black",Walmart #  586219737,4.6,86 ratings,$28.99 ,,wireless,,,mic,0,waterproof,lightweight,,,,,,,,,,Y,,,Bluetooth
254,Beats Studio3 Wireless Over-Ear Noise Cancelling Headphones - Matte Black,Walmart #  571298612,4.1,127 ratings,$229.99 ,,wireless,on ear,,mic,noise canceling,0,,,,,,,,,Portableelectronics,On-Ear&Over-Ear|DJ,Y,iPhone|MacBook|iPad|AppleWatch|AppleTV|iPodTouch,WirelessHeadphones,Bluetooth
255,"Bose QuietComfort Noise Cancelling Earbuds – True Wireless Headphones, Black",Walmart #  585374518,3.7,10 ratings,$279.00 ,,wireless,,,mic,noise cancelling,0,,,,,,,,,Portableelectronics,In-Ear,Y,Bluetooth,Noise-CancelingHeadphones|Earbuds|WirelessHeadphones|In-earHeadphones,Bluetooth
256,Bose Noise Cancelling Wireless Headphones 700 with Google Assistant,Walmart #  575563048,4.7,235 ratings,$379.00 ,,wireless,,,mic,noise cancelling,0,lightweight,,,,,,,,,Over-Ear,Y,Bluetooth,On-Ear&Over-Ear,Bluetooth
257,Walkers Razor Flat Dark Earth American Flag,,4.4,7 ratings,$47.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,N,,On-Ear&Over-Ear,
258,Apple AirPods Pro,Walmart #  577856461,4.6,2245 ratings,$219.00 ,,wireless,in ear,,0,noise cancellation,water resist,,,,,,,,,1,In-Ear,TrueWireless,1,In-EarHeadphones,Bluetooth
259,"ONIKUMA K10 Gaming Headset,Stereo Bass Surround RGB Noise Cancelling Over Ear Headphones with Mic,for PS4 Xbox One PC Nintendo Switch Tablet Smartphone",,4.8,12 ratings,$35.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,,,,
260,"Bluetooth 5.0 True Wireless Earbuds Headphones w/ Charging Case, One-Step Pairing, IP67 Waterproof, 20Hrs Playtime In-Ear Headset Earphone Hands-free Earpiece Built-in Mic for iPhone/Android Black",Walmart #  586219737,4.6,86 ratings,$28.99 ,,wireless,,,mic,0,waterproof,lightweight,,,,,,,,,,Y,,,Bluetooth
261,Beats Studio3 Wireless Over-Ear Noise Cancelling Headphones - Matte Black,Walmart #  571298612,4.1,127 ratings,$229.99 ,,wireless,on ear,,mic,noise canceling,0,,,,,,,,,Portableelectronics,On-Ear&Over-Ear|DJ,Y,iPhone|MacBook|iPad|AppleWatch|AppleTV|iPodTouch,WirelessHeadphones,Bluetooth
262,"Bose QuietComfort Noise Cancelling Earbuds – True Wireless Headphones, Black",Walmart #  585374518,3.7,10 ratings,$279.00 ,,wireless,,,mic,noise cancelling,0,,,,,,,,,Portableelectronics,In-Ear,Y,Bluetooth,Noise-CancelingHeadphones|Earbuds|WirelessHeadphones|In-earHeadphones,Bluetooth
263,Bose Noise Cancelling Wireless Headphones 700 with Google Assistant,Walmart #  575563048,4.7,235 ratings,$379.00 ,,wireless,,,mic,noise cancelling,0,lightweight,,,,,,,,,Over-Ear,Y,Bluetooth,On-Ear&Over-Ear,Bluetooth
264,Walkers Razor Flat Dark Earth American Flag,,4.4,7 ratings,$47.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,N,,On-Ear&Over-Ear,
265,Apple AirPods Pro,Walmart #  577856461,4.6,2245 ratings,$219.00 ,,wireless,in ear,,0,noise cancellation,water resist,,,,,,,,,1,In-Ear,TrueWireless,1,In-EarHeadphones,Bluetooth
266,"ONIKUMA K10 Gaming Headset,Stereo Bass Surround RGB Noise Cancelling Over Ear Headphones with Mic,for PS4 Xbox One PC Nintendo Switch Tablet Smartphone",,4.8,12 ratings,$35.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,,,,
267,"Bluetooth 5.0 True Wireless Earbuds Headphones w/ Charging Case, One-Step Pairing, IP67 Waterproof, 20Hrs Playtime In-Ear Headset Earphone Hands-free Earpiece Built-in Mic for iPhone/Android Black",Walmart #  586219737,4.6,86 ratings,$28.99 ,,wireless,,,mic,0,waterproof,lightweight,,,,,,,,,,Y,,,Bluetooth
268,"Bose QuietComfort Noise Cancelling Earbuds – True Wireless Headphones, Black",Walmart #  585374518,3.7,10 ratings,$279.00 ,,wireless,,,mic,noise cancelling,0,,,,,,,,,Portableelectronics,In-Ear,Y,Bluetooth,Noise-CancelingHeadphones|Earbuds|WirelessHeadphones|In-earHeadphones,Bluetooth
269,Bose Noise Cancelling Wireless Headphones 700 with Google Assistant,Walmart #  575563048,4.7,235 ratings,$379.00 ,,wireless,,,mic,noise cancelling,0,lightweight,,,,,,,,,Over-Ear,Y,Bluetooth,On-Ear&Over-Ear,Bluetooth
270,Walkers Razor Flat Dark Earth American Flag,,4.4,7 ratings,$47.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,N,,On-Ear&Over-Ear,
271,Apple AirPods Pro,Walmart #  577856461,4.6,2245 ratings,$219.00 ,,wireless,in ear,,0,noise cancellation,water resist,,,,,,,,,1,In-Ear,TrueWireless,1,In-EarHeadphones,Bluetooth
272,"ONIKUMA K10 Gaming Headset,Stereo Bass Surround RGB Noise Cancelling Over Ear Headphones with Mic,for PS4 Xbox One PC Nintendo Switch Tablet Smartphone",,4.8,12 ratings,$35.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,,,,
273,"Bluetooth 5.0 True Wireless Earbuds Headphones w/ Charging Case, One-Step Pairing, IP67 Waterproof, 20Hrs Playtime In-Ear Headset Earphone Hands-free Earpiece Built-in Mic for iPhone/Android Black",Walmart #  586219737,4.6,86 ratings,$28.99 ,,wireless,,,mic,0,waterproof,lightweight,,,,,,,,,,Y,,,Bluetooth
274,Beats Studio3 Wireless Over-Ear Noise Cancelling Headphones - Matte Black,Walmart #  571298612,4.1,127 ratings,$229.99 ,,wireless,on ear,,mic,noise canceling,0,,,,,,,,,Portableelectronics,On-Ear&Over-Ear|DJ,Y,iPhone|MacBook|iPad|AppleWatch|AppleTV|iPodTouch,WirelessHeadphones,Bluetooth
275,"Bose QuietComfort Noise Cancelling Earbuds – True Wireless Headphones, Black",Walmart #  585374518,3.7,10 ratings,$279.00 ,,wireless,,,mic,noise cancelling,0,,,,,,,,,Portableelectronics,In-Ear,Y,Bluetooth,Noise-CancelingHeadphones|Earbuds|WirelessHeadphones|In-earHeadphones,Bluetooth
276,Bose Noise Cancelling Wireless Headphones 700 with Google Assistant,Walmart #  575563048,4.7,235 ratings,$379.00 ,,wireless,,,mic,noise cancelling,0,lightweight,,,,,,,,,Over-Ear,Y,Bluetooth,On-Ear&Over-Ear,Bluetooth
277,Walkers Razor Flat Dark Earth American Flag,,4.4,7 ratings,$47.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,N,,On-Ear&Over-Ear,
278,Apple AirPods Pro,Walmart #  577856461,4.6,2245 ratings,$219.00 ,,wireless,in ear,,0,noise cancellation,water resist,,,,,,,,,1,In-Ear,TrueWireless,1,In-EarHeadphones,Bluetooth
279,"ONIKUMA K10 Gaming Headset,Stereo Bass Surround RGB Noise Cancelling Over Ear Headphones with Mic,for PS4 Xbox One PC Nintendo Switch Tablet Smartphone",,4.8,12 ratings,$35.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,,,,
280,"Bluetooth 5.0 True Wireless Earbuds Headphones w/ Charging Case, One-Step Pairing, IP67 Waterproof, 20Hrs Playtime In-Ear Headset Earphone Hands-free Earpiece Built-in Mic for iPhone/Android Black",Walmart #  586219737,4.6,86 ratings,$28.99 ,,wireless,,,mic,0,waterproof,lightweight,,,,,,,,,,Y,,,Bluetooth
281,Beats Studio3 Wireless Over-Ear Noise Cancelling Headphones - Matte Black,Walmart #  571298612,4.1,127 ratings,$229.99 ,,wireless,on ear,,mic,noise canceling,0,,,,,,,,,Portableelectronics,On-Ear&Over-Ear|DJ,Y,iPhone|MacBook|iPad|AppleWatch|AppleTV|iPodTouch,WirelessHeadphones,Bluetooth
282,"Bose QuietComfort Noise Cancelling Earbuds – True Wireless Headphones, Black",Walmart #  585374518,3.7,10 ratings,$279.00 ,,wireless,,,mic,noise cancelling,0,,,,,,,,,Portableelectronics,In-Ear,Y,Bluetooth,Noise-CancelingHeadphones|Earbuds|WirelessHeadphones|In-earHeadphones,Bluetooth
283,Bose Noise Cancelling Wireless Headphones 700 with Google Assistant,Walmart #  575563048,4.7,235 ratings,$379.00 ,,wireless,,,mic,noise cancelling,0,lightweight,,,,,,,,,Over-Ear,Y,Bluetooth,On-Ear&Over-Ear,Bluetooth
284,Walkers Razor Flat Dark Earth American Flag,,4.4,7 ratings,$47.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,N,,On-Ear&Over-Ear,
285,Apple AirPods Pro,Walmart #  577856461,4.6,2245 ratings,$219.00 ,,wireless,in ear,,0,noise cancellation,water resist,,,,,,,,,1,In-Ear,TrueWireless,1,In-EarHeadphones,Bluetooth
286,"ONIKUMA K10 Gaming Headset,Stereo Bass Surround RGB Noise Cancelling Over Ear Headphones with Mic,for PS4 Xbox One PC Nintendo Switch Tablet Smartphone",,4.8,12 ratings,$35.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,,,,
287,"Bluetooth 5.0 True Wireless Earbuds Headphones w/ Charging Case, One-Step Pairing, IP67 Waterproof, 20Hrs Playtime In-Ear Headset Earphone Hands-free Earpiece Built-in Mic for iPhone/Android Black",Walmart #  586219737,4.6,86 ratings,$28.99 ,,wireless,,,mic,0,waterproof,lightweight,,,,,,,,,,Y,,,Bluetooth
288,Beats Studio3 Wireless Over-Ear Noise Cancelling Headphones - Matte Black,Walmart #  571298612,4.1,127 ratings,$229.99 ,,wireless,on ear,,mic,noise canceling,0,,,,,,,,,Portableelectronics,On-Ear&Over-Ear|DJ,Y,iPhone|MacBook|iPad|AppleWatch|AppleTV|iPodTouch,WirelessHeadphones,Bluetooth
289,"Bose QuietComfort Noise Cancelling Earbuds – True Wireless Headphones, Black",Walmart #  585374518,3.7,10 ratings,$279.00 ,,wireless,,,mic,noise cancelling,0,,,,,,,,,Portableelectronics,In-Ear,Y,Bluetooth,Noise-CancelingHeadphones|Earbuds|WirelessHeadphones|In-earHeadphones,Bluetooth
290,Bose Noise Cancelling Wireless Headphones 700 with Google Assistant,Walmart #  575563048,4.7,235 ratings,$379.00 ,,wireless,,,mic,noise cancelling,0,lightweight,,,,,,,,,Over-Ear,Y,Bluetooth,On-Ear&Over-Ear,Bluetooth
291,Walkers Razor Flat Dark Earth American Flag,,4.4,7 ratings,$47.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,N,,On-Ear&Over-Ear,
292,Apple AirPods Pro,Walmart #  577856461,4.6,2245 ratings,$219.00 ,,wireless,in ear,,0,noise cancellation,water resist,,,,,,,,,1,In-Ear,TrueWireless,1,In-EarHeadphones,Bluetooth
293,"ONIKUMA K10 Gaming Headset,Stereo Bass Surround RGB Noise Cancelling Over Ear Headphones with Mic,for PS4 Xbox One PC Nintendo Switch Tablet Smartphone",,4.8,12 ratings,$35.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,,,,
294,"Bluetooth 5.0 True Wireless Earbuds Headphones w/ Charging Case, One-Step Pairing, IP67 Waterproof, 20Hrs Playtime In-Ear Headset Earphone Hands-free Earpiece Built-in Mic for iPhone/Android Black",Walmart #  586219737,4.6,86 ratings,$28.99 ,,wireless,,,mic,0,waterproof,lightweight,,,,,,,,,,Y,,,Bluetooth
295,Beats Studio3 Wireless Over-Ear Noise Cancelling Headphones - Matte Black,Walmart #  571298612,4.1,127 ratings,$229.99 ,,wireless,on ear,,mic,noise canceling,0,,,,,,,,,Portableelectronics,On-Ear&Over-Ear|DJ,Y,iPhone|MacBook|iPad|AppleWatch|AppleTV|iPodTouch,WirelessHeadphones,Bluetooth
296,"Bose QuietComfort Noise Cancelling Earbuds – True Wireless Headphones, Black",Walmart #  585374518,3.7,10 ratings,$279.00 ,,wireless,,,mic,noise cancelling,0,,,,,,,,,Portableelectronics,In-Ear,Y,Bluetooth,Noise-CancelingHeadphones|Earbuds|WirelessHeadphones|In-earHeadphones,Bluetooth
297,Bose Noise Cancelling Wireless Headphones 700 with Google Assistant,Walmart #  575563048,4.7,235 ratings,$379.00 ,,wireless,,,mic,noise cancelling,0,lightweight,,,,,,,,,Over-Ear,Y,Bluetooth,On-Ear&Over-Ear,Bluetooth
298,Walkers Razor Flat Dark Earth American Flag,,4.4,7 ratings,$47.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,N,,On-Ear&Over-Ear,
299,Apple AirPods Pro,Walmart #  577856461,4.6,2245 ratings,$219.00 ,,wireless,in ear,,0,noise cancellation,water resist,,,,,,,,,1,In-Ear,TrueWireless,1,In-EarHeadphones,Bluetooth
300,"ONIKUMA K10 Gaming Headset,Stereo Bass Surround RGB Noise Cancelling Over Ear Headphones with Mic,for PS4 Xbox One PC Nintendo Switch Tablet Smartphone",,4.8,12 ratings,$35.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,,,,
301,"Bluetooth 5.0 True Wireless Earbuds Headphones w/ Charging Case, One-Step Pairing, IP67 Waterproof, 20Hrs Playtime In-Ear Headset Earphone Hands-free Earpiece Built-in Mic for iPhone/Android Black",Walmart #  586219737,4.6,86 ratings,$28.99 ,,wireless,,,mic,0,waterproof,lightweight,,,,,,,,,,Y,,,Bluetooth
302,"Bose QuietComfort Noise Cancelling Earbuds – True Wireless Headphones, Black",Walmart #  585374518,3.7,10 ratings,$279.00 ,,wireless,,,mic,noise cancelling,0,,,,,,,,,Portableelectronics,In-Ear,Y,Bluetooth,Noise-CancelingHeadphones|Earbuds|WirelessHeadphones|In-earHeadphones,Bluetooth
303,Bose Noise Cancelling Wireless Headphones 700 with Google Assistant,Walmart #  575563048,4.7,235 ratings,$379.00 ,,wireless,,,mic,noise cancelling,0,lightweight,,,,,,,,,Over-Ear,Y,Bluetooth,On-Ear&Over-Ear,Bluetooth
304,Walkers Razor Flat Dark Earth American Flag,,4.4,7 ratings,$47.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,N,,On-Ear&Over-Ear,
305,Apple AirPods Pro,Walmart #  577856461,4.6,2245 ratings,$219.00 ,,wireless,in ear,,0,noise cancellation,water resist,,,,,,,,,1,In-Ear,TrueWireless,1,In-EarHeadphones,Bluetooth
306,"ONIKUMA K10 Gaming Headset,Stereo Bass Surround RGB Noise Cancelling Over Ear Headphones with Mic,for PS4 Xbox One PC Nintendo Switch Tablet Smartphone",,4.8,12 ratings,$35.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,,,,
