,web-scraper-order,web-scraper-start-url,product_link,product_link-href,name,model,sku,price,rating,rating_amount,key_specs,brand,general,audio,connectivity,features,design,power,warranty/dimension,other,about_text_clean,brand,connection,type,battery,microphone,noise,water,weight,impedance,frequency response,sensitivity,UPC,manufacturerID
432,1604777120-16196,https://www.bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=10&id=pcmcat144700050004bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004,Skullcandy - Jib+ Active Wireless In-Ear Headphones - Black,https://www.bestbuy.com/site/skullcandy-jib-active-wireless-in-ear-headphones-black/6348345.p?skuId=6348345,Skullcandy - Jib+ Active Wireless In-Ear Headphones - Black,S2JSW-M003,6348345,19,4.0,207,"Sound Mode Stereo Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoNoWater ResistantInfoYes Built-In Microphone Yes Carrying Case No Headphone Fit In-EarBattery LifeInfo8 hours Ear Tip Sizes Included Large, Medium, Small",Skullcandy,"Product Name Jib+ Active Wireless In-Ear Headphones Brand Skullcandy Additional Accessories Included Ear gels (S,M,L), secure FitFin eargels, secure cable clip, Micro-USB charging cable Ear Tip Sizes Included Large, Medium, Small Model Number S2JSW-M003 Color Black Color Category Black",Sound Isolating YesMinimum Frequency ResponseInfo20 hertzMaximum Frequency ResponseInfo20 kilohertzImpedanceInfo16 ohmsTotal Harmonic DistortionInfo3 percent Sound Mode Stereo Driver Size 6 millimeters,Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoNoBluetooth VersionInfo5.0,"Water ResistantInfoYes Built-In Microphone Yes Carrying Case No Controls Call, Track selection, Volume",Headphone Fit In-Ear,Rechargeable YesBattery LifeInfo8 hours Charging Accessory Included CableCharging Interface(s)InfoMicro-USB,Product HeightInfo7.28 inchesProduct WidthInfo3.19 inchesProduct DepthInfo1.5 inchesProduct WeightInfo0.19 pounds,Manufacturer's Warranty - Parts 2 Years,product name jib  active wireless in ear headphones brand skullcandy additional accessories included ear gels  s m l   secure fitfin eargels  secure cable clip  micro usb charging cable ear tip sizes included large  medium  small model number s2jsw m003 color black color category black sound mode stereo connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfonowater resistantinfoyes built in microphone yes carrying case no headphone fit in earbattery lifeinfo8 hours ear tip sizes included large  medium  small sound isolating yesminimum frequency responseinfo20 hertzmaximum frequency responseinfo20 kilohertzimpedanceinfo16 ohmstotal harmonic distortioninfo3 percent sound mode stereo driver size 6 millimeters connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfonobluetooth versioninfo5.0 water resistantinfoyes built in microphone yes carrying case no controls call  track selection  volume headphone fit in ear rechargeable yesbattery lifeinfo8 hours charging accessory included cablecharging interface s infomicro usb,product,1,in,8,1.0,isolate,resist,,6 ohms,20 hertz,,,s2jsw
433,1604775233-16071,https://www.bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=15&id=pcmcat144700050004bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004,Sentry - HM800 Wired Over-the-Ear Headphones - Black,https://www.bestbuy.com/site/sentry-hm800-wired-over-the-ear-headphones-black/6356912.p?skuId=6356912,Sentry - HM800 Wired Over-the-Ear Headphones - Black,SENTRY-HM800,6356912,14,5.0,1,Sound Mode Stereo Connection Type Wired Built-In Microphone Yes Headphone Fit Over-the-Ear Adjustable Headband No,Sentry,Product Name HM800 Wired Over-the-Ear Headphones Brand Sentry Model Number SENTRY-HM800 Color Black Color Category Black,Sound Isolating NoMinimum Frequency ResponseInfo20 hertzMaximum Frequency ResponseInfo20 kilohertzImpedanceInfo32 ohms Sensitivity 103 decibels adjusted Sound Mode Stereo Driver Size 40 millimeters,Connection Type Wired Connector Size 1/8 in. (3.5mm),Built-In Microphone Yes,Headphone Fit Over-the-Ear,Cord Length 3.9 feet,Manufacturer's Warranty - Parts 1 year Manufacturer's Warranty - Labor 1 year,UPC 080068448006,product name hm800 wired over the ear headphones brand sentry model number sentry hm800 color black color category black sound mode stereo connection type wired built in microphone yes headphone fit over the ear adjustable headband no sound isolating nominimum frequency responseinfo20 hertzmaximum frequency responseinfo20 kilohertzimpedanceinfo32 ohms sensitivity 103 decibels adjusted sound mode stereo driver size 40 millimeters connection type wired connector size 1 8 in.  3.5mm  built in microphone yes headphone fit over the ear cord length 3.9 feet,product,0,,,1.0,isolate,,,2 ohms,20 hertz,103 decibels adjusted,,sentry
434,1604774662-16031,https://www.bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=17&id=pcmcat144700050004bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004,Etymotic - ETY-Plugs High-Fidelity Wired Earplugs - Clear,https://www.bestbuy.com/site/etymotic-ety-plugs-high-fidelity-wired-earplugs-clear/2672289.p?skuId=2672289,Etymotic - ETY-Plugs High-Fidelity Wired Earplugs - Clear,121860,2672289,14,4.1,20,Product Name ETY-Plugs High-Fidelity Wired Earplugs Brand Etymotic Model Number 121860 Color Clear Color Category Clear,Etymotic,Manufacturer's Warranty - Parts None Manufacturer's Warranty - Labor None,Product WidthInfo4 1/2 inchesProduct HeightInfo6 1/2 inchesProduct WeightInfo0.06 poundsProduct LengthInfo6.5 inches UPC 084643000245,,,,,,,,,0,,,,,,,,,,,
435,1604775578-16096,https://www.bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=14&id=pcmcat144700050004bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004,1MORE - Triple Driver Wired In-Ear Headphones - Titanium,https://www.bestbuy.com/site/1more-triple-driver-wired-in-ear-headphones-titanium/6172056.p?skuId=6172056,1MORE - Triple Driver Wired In-Ear Headphones - Titanium,E1001,6172056,79,4.3,46,"Connection Type Wired Built-In Microphone Yes Carrying Case Yes Headphone Fit In-Ear Ear Tip Sizes Included Extra small, Large, Medium, Small",1MORE,"Product Name Triple Driver Wired In-Ear Headphones Brand 1MORE Ear Tip Sizes Included Extra small, Large, Medium, Small Model Number E1001 Color Titanium Color Category Silver",Sound Isolating YesMinimum Frequency ResponseInfo20 hertzMaximum Frequency ResponseInfo40 kilohertzImpedanceInfo32 ohms Sensitivity 99 decibels adjusted,Connection Type Wired Connector Size 1/8 in. (3.5mm),Built-In Microphone Yes Carrying Case Yes Controls Volume,Headphone Fit In-Ear,Product WeightInfo0.04 pounds,Manufacturer's Warranty - Parts 1 Year Manufacturer's Warranty - Labor 1 Year,UPC 190280100337,product name triple driver wired in ear headphones brand 1more ear tip sizes included extra small  large  medium  small model number e1001 color titanium color category silver connection type wired built in microphone yes carrying case yes headphone fit in ear ear tip sizes included extra small  large  medium  small sound isolating yesminimum frequency responseinfo20 hertzmaximum frequency responseinfo40 kilohertzimpedanceinfo32 ohms sensitivity 99 decibels adjusted connection type wired connector size 1 8 in.  3.5mm  built in microphone yes carrying case yes controls volume headphone fit in ear product weightinfo0.04 pounds,product,0,in,,1.0,isolate,,,2 ohms,20 hertz,99 decibels adjusted,,e1001
436,1604775593-16097,https://www.bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=14&id=pcmcat144700050004bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004,Microsoft - Surface Headphones 2 - Wireless Noise Cancelling Over-the-Ear with Cortana - Matte Black,https://www.bestbuy.com/site/microsoft-surface-headphones-2-wireless-noise-cancelling-over-the-ear-with-cortana-matte-black/6408622.p?skuId=6408622,Microsoft - Surface Headphones 2 - Wireless Noise Cancelling Over-the-Ear with Cortana - Matte Black,QXL-00009,6408622,249,4.5,62,Noise Cancelling (Active) Yes Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoNo Carrying Case Yes Headphone Fit Over-the-EarBattery LifeInfo18.5 hoursWorks WithInfoCortana,Microsoft,Product Name Surface Headphones 2 - Wireless Noise Cancelling Over-the-Ear with Cortana Brand Microsoft Model Number QXL-00009 Color Matte Black Color Category Black,Noise Cancelling (Active) Yes Sound Isolating NoMinimum Frequency ResponseInfo20 hertzMaximum Frequency ResponseInfo20 kilohertz Driver Size 40 millimeters,Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoNo,Carrying Case Yes,Headphone Fit Over-the-Ear,Rechargeable YesBattery LifeInfo18.5 hoursFast ChargingInfoFull charge in less than 2 hoursCharging Interface(s)InfoUSB Type COn/Off SwitchInfoYes,Works WithInfoCortana,Product HeightInfo8.03 inches,product name surface headphones 2   wireless noise cancelling over the ear with cortana brand microsoft model number qxl 00009 color matte black color category black noise cancelling  active  yes connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfono carrying case yes headphone fit over the earbattery lifeinfo18.5 hoursworks withinfocortana noise cancelling  active  yes sound isolating nominimum frequency responseinfo20 hertzmaximum frequency responseinfo20 kilohertz driver size 40 millimeters connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfono carrying case yes headphone fit over the ear rechargeable yesbattery lifeinfo18.5 hoursfast charginginfofull charge in less than 2 hourscharging interface s infousb type con off switchinfoyes,product,0,,18.5,1.0,cancel,,,,20 hertz,,,qxl
437,1604778554-16296,https://www.bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=3&id=pcmcat144700050004bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004,Sony - WFXB700 True Wireless Headphones - Black,https://www.bestbuy.com/site/sony-wfxb700-true-wireless-headphones-black/6408362.p?skuId=6408362,Sony - WFXB700 True Wireless Headphones - Black,WFXB700/B,6408362,69,4.2,227,"Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoYesWater ResistantInfoYes Built-In Microphone Yes Carrying Case Yes Headphone Fit In-EarBattery LifeInfo9 hoursBattery Charge TimeInfo2.5 hoursWorks WithInfoGoogle Assistant, Siri Ear Tip Sizes Included Extra small, Large, Medium, Small",Sony,"Product Name WFXB700 True Wireless Headphones Brand Sony Additional Accessories Included 7.88"" USB Type-C cable, charging case, two types of earbud in a range of sizes Ear Cushions Yes Ear Tip Sizes Included Extra small, Large, Medium, Small Model Number WFXB700/B Color Black Color Category Black",Sound Isolating NoMinimum Frequency ResponseInfo20 hertzMaximum Frequency ResponseInfo20 kilohertz Driver Size 12 millimeters,Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoYesBluetooth VersionInfo5.0,Water ResistantInfoYes Built-In Microphone Yes Carrying Case Yes Controls Voice assistant,Headphone Fit In-Ear,Rechargeable YesBattery LifeInfo9 hoursBattery Charge TimeInfo2.5 hours Charging Accessory Included Case Battery Life Provided by Charging Case 9 hours,"Works WithInfoGoogle Assistant, Siri",Manufacturer's Warranty - Parts 1 Year,product name wfxb700 true wireless headphones brand sony additional accessories included 7.88  usb type c cable  charging case  two types of earbud in a range of sizes ear cushions yes ear tip sizes included extra small  large  medium  small model number wfxb700 b color black color category black connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfoyeswater resistantinfoyes built in microphone yes carrying case yes headphone fit in earbattery lifeinfo9 hoursbattery charge timeinfo2.5 hoursworks withinfogoogle assistant  siri ear tip sizes included extra small  large  medium  small sound isolating nominimum frequency responseinfo20 hertzmaximum frequency responseinfo20 kilohertz driver size 12 millimeters connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfoyesbluetooth versioninfo5.0 water resistantinfoyes built in microphone yes carrying case yes controls voice assistant headphone fit in ear rechargeable yesbattery lifeinfo9 hoursbattery charge timeinfo2.5 hours charging accessory included case battery life provided by charging case 9 hours,product,1,in,9,1.0,isolate,resist,,,20 hertz,,,wfxb700
438,1604778934-16322,https://www.bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=2&id=pcmcat144700050004bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004,JBL - Endurance Peak True Wireless In-Ear Headphones - Black,https://www.bestbuy.com/site/jbl-endurance-peak-true-wireless-in-ear-headphones-black/6314374.p?skuId=6314374,JBL - Endurance Peak True Wireless In-Ear Headphones - Black,JBLENDURPEAKBLKAM,6314374,49,3.7,1,"Sound Mode Stereo Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoYes Built-In Microphone Yes Headphone Fit In-Ear Ear Tip Sizes Included Large, Medium, Small",JBL,"Product Name Endurance Peak True Wireless In-Ear Headphones Brand JBL Additional Accessories Included 3 ear tips, charging cable, storage case with charging function Ear Cushions Yes Ear Tip Sizes Included Large, Medium, Small Model Number JBLENDURPEAKBLKAM Color Black Color Category Black",Sound Isolating NoMinimum Frequency ResponseInfo16 hertzMaximum Frequency ResponseInfo22 kilohertz Sound Mode Stereo Driver Size 10 millimeters,Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoYesBluetooth VersionInfo4.2,"Built-In Microphone Yes Controls Call, Volume Maximum Talk Time 4 hours",Headphone Fit In-Ear,Manufacturer's Warranty - Parts 1 year Manufacturer's Warranty - Labor 1 year,UPC 050036353601,,product name endurance peak true wireless in ear headphones brand jbl additional accessories included 3 ear tips  charging cable  storage case with charging function ear cushions yes ear tip sizes included large  medium  small model number jblendurpeakblkam color black color category black sound mode stereo connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfoyes built in microphone yes headphone fit in ear ear tip sizes included large  medium  small sound isolating nominimum frequency responseinfo16 hertzmaximum frequency responseinfo22 kilohertz sound mode stereo driver size 10 millimeters connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfoyesbluetooth versioninfo4.2 built in microphone yes controls call  volume maximum talk time 4 hours headphone fit in ear manufacturer s warranty   parts 1 year manufacturer s warranty   labor 1 year,product,0,in,,1.0,isolate,,,,16 hertz,,,jblendurpeakblkam
439,1604776988-16187,https://www.bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=10&id=pcmcat144700050004bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004,MEE audio - T1N1 Wireless In-Ear Headphones and Connect Dual-Headphone Bluetooth Audio Transmitter - Black,https://www.bestbuy.com/site/mee-audio-t1n1-wireless-in-ear-headphones-and-connect-dual-headphone-bluetooth-audio-transmitter-black/6165877.p?skuId=6165877,MEE audio - T1N1 Wireless In-Ear Headphones and Connect Dual-Headphone Bluetooth Audio Transmitter - Black,T1N1,6165877,109,4.1,195,"Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoNo Maximum Wireless Range 30 feet Built-In Microphone Yes Headphone Fit In-EarBattery LifeInfo8 hoursBattery Charge TimeInfo2 hours Ear Tip Sizes Included Large, Medium, Small",MEE audio,"Product Name T1N1 Wireless In-Ear Headphones and Connect Dual-Headphone Bluetooth Audio Transmitter Brand MEE audio Additional Accessories Included 2 x Micro-USB charging cable, 3.5mm audio cable, 3.5mm to RCA adapter, TOSLINK digital optical SPDIF audio cable, 3 sets of eartips Ear Tip Sizes Included Large, Medium, Small Model Number T1N1 Color Black Color Category Black",Sound Isolating NoMinimum Frequency ResponseInfo20 hertzMaximum Frequency ResponseInfo20 kilohertzImpedanceInfo32 ohms Sensitivity 92 decibels adjusted Driver Size 10 millimeters,Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoNoBluetooth VersionInfo4.0 Maximum Wireless Range 30 feet Number Of Devices Connectable Simultaneously 2,"Built-In Microphone Yes Controls Track selection, Volume Bone Conducting Technology No Maximum Talk Time 8 hoursStand-By TimeInfo7.5 days",Headphone Fit In-Ear,Rechargeable YesBattery LifeInfo8 hoursBattery Charge TimeInfo2 hoursBattery CapacityInfo120 milliampere hours Charging Accessory Included CableOn/Off SwitchInfoYes,Product HeightInfo7.5 inchesProduct WidthInfo7.5 inchesProduct DepthInfo1.5 inchesProduct WeightInfo0.63 pounds,Manufacturer's Warranty - Parts 1 Year,product name t1n1 wireless in ear headphones and connect dual headphone bluetooth audio transmitter brand mee audio additional accessories included 2 x micro usb charging cable  3.5mm audio cable  3.5mm to rca adapter  toslink digital optical spdif audio cable  3 sets of eartips ear tip sizes included large  medium  small model number t1n1 color black color category black connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfono maximum wireless range 30 feet built in microphone yes headphone fit in earbattery lifeinfo8 hoursbattery charge timeinfo2 hours ear tip sizes included large  medium  small sound isolating nominimum frequency responseinfo20 hertzmaximum frequency responseinfo20 kilohertzimpedanceinfo32 ohms sensitivity 92 decibels adjusted driver size 10 millimeters connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfonobluetooth versioninfo4.0 maximum wireless range 30 feet number of devices connectable simultaneously 2 built in microphone yes controls track selection  volume bone conducting technology no maximum talk time 8 hoursstand by timeinfo7.5 days headphone fit in ear rechargeable yesbattery lifeinfo8 hoursbattery charge timeinfo2 hoursbattery capacityinfo120 milliampere hours charging accessory included cableon off switchinfoyes,product,0,in,8,1.0,isolate,,,2 ohms,20 hertz,92 decibels adjusted,,t1n1
440,1604774065-15990,https://www.bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=18&id=pcmcat144700050004bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004,Audio-Technica - ATH S200BT Wireless Over-the-Ear Headphones - White,https://www.bestbuy.com/site/audio-technica-ath-s200bt-wireless-over-the-ear-headphones-white/6352620.p?skuId=6352620,Audio-Technica - ATH S200BT Wireless Over-the-Ear Headphones - White,AUD ATHS200BTWH,6352620,69,1.3,3,Sound Mode Stereo Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoNo Maximum Wireless Range 33 feet Built-In Microphone Yes Headphone Fit Over-the-Ear Adjustable Headband YesBattery LifeInfo40 hoursBattery Charge TimeInfo3 hours,Audio-Technica,Product Name ATH S200BT Wireless Over-the-Ear Headphones Brand Audio-Technica Model Number AUD ATHS200BTWH Color White Color Category White,Sound Isolating NoMinimum Frequency ResponseInfo5 hertzMaximum Frequency ResponseInfo32 kilohertzImpedanceInfo32 ohms Sensitivity 102 decibels adjusted Sound Mode Stereo Driver Size 40 millimeters,Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoNoBluetooth VersionInfo4.1 Maximum Wireless Range 33 feet,"Built-In Microphone Yes Controls Call, Volume Maximum Talk Time 40 hoursStand-By TimeInfo41.7 days",Headphone Fit Over-the-Ear,Rechargeable YesBattery LifeInfo40 hoursBattery Charge TimeInfo3 hoursCharging Interface(s)InfoUSB,Product WeightInfo0.42 pounds,Manufacturer's Warranty - Parts 2 years,product name ath s200bt wireless over the ear headphones brand audio technica model number aud aths200btwh color white color category white sound mode stereo connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfono maximum wireless range 33 feet built in microphone yes headphone fit over the ear adjustable headband yesbattery lifeinfo40 hoursbattery charge timeinfo3 hours sound isolating nominimum frequency responseinfo5 hertzmaximum frequency responseinfo32 kilohertzimpedanceinfo32 ohms sensitivity 102 decibels adjusted sound mode stereo driver size 40 millimeters connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfonobluetooth versioninfo4.1 maximum wireless range 33 feet built in microphone yes controls call  volume maximum talk time 40 hoursstand by timeinfo41.7 days headphone fit over the ear rechargeable yesbattery lifeinfo40 hoursbattery charge timeinfo3 hourscharging interface s infousb,product,0,,40,1.0,isolate,,,2 ohms,5 hertz,102 decibels adjusted,,aud
441,1604770536-15788,https://www.bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=27&id=pcmcat144700050004bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004,Ausounds - AU Frequency ANC True Wireless Noise-Cancelling Earbuds - Black,https://www.bestbuy.com/site/ausounds-au-frequency-anc-true-wireless-noise-cancelling-earbuds-black/6434337.p?skuId=6434337,Ausounds - AU Frequency ANC True Wireless Noise-Cancelling Earbuds - Black,AUFQANC101-Black,6434337,129,,,"Noise Cancelling (Active) Yes Sound Mode Stereo Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoYes Maximum Wireless Range 32 feetWater ResistantInfoYes Built-In Microphone Yes Carrying Case Yes Microphone Features Noise cancelling, Voice Activated Headphone Fit In-EarBattery LifeInfo22 hoursBattery Charge TimeInfo1.5 hoursVoice Assistant Built-inInfoSiri, Google Assistant Ear Tip Sizes Included Small, Medium, Large",Ausounds,"Product Name AU Frequency ANC True Wireless Noise-Cancelling Earbuds Brand Ausounds Additional Accessories Included Silicone bud tips 3 sizes, charging case, USB cable Ear Cushions No Ear Tip Sizes Included Small, Medium, Large Model Number AUFQANC101-Black Color Black Color Category Black",Noise Cancelling (Active) Yes Sound Isolating YesEnvironmental Noise ControlInfoYesMinimum Frequency ResponseInfo20 hertzMaximum Frequency ResponseInfo20 kilohertzImpedanceInfo32 ohms Integrated Amplifier No Volume Limiting Function Yes Sound Mode Stereo Driver Size 10 millimeters,Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoYesBluetooth VersionInfo4.0 Maximum Wireless Range 32 feet,"Water ResistantInfoYes Built-In Microphone Yes Carrying Case Yes Microphone Features Noise cancelling, Voice Activated Controls Track selection, Volume, Voice assistant, Call Body Metrics Measured Not Applicable Bone Conducting Technology No Maximum Talk Time 20 hours",Headphone Fit In-Ear,"Rechargeable YesBattery LifeInfo22 hoursBattery Charge TimeInfo1.5 hoursBattery CapacityInfo175 milliampere hours Charging Accessory Included Case, CableFast ChargingInfoYesOn/Off SwitchInfoAutomatic","Voice Assistant Built-inInfoSiri, Google Assistant",Product HeightInfo1.75 inches,product name au frequency anc true wireless noise cancelling earbuds brand ausounds additional accessories included silicone bud tips 3 sizes  charging case  usb cable ear cushions no ear tip sizes included small  medium  large model number aufqanc101 black color black color category black noise cancelling  active  yes sound mode stereo connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfoyes maximum wireless range 32 feetwater resistantinfoyes built in microphone yes carrying case yes microphone features noise cancelling  voice activated headphone fit in earbattery lifeinfo22 hoursbattery charge timeinfo1.5 hoursvoice assistant built ininfosiri  google assistant ear tip sizes included small  medium  large noise cancelling  active  yes sound isolating yesenvironmental noise controlinfoyesminimum frequency responseinfo20 hertzmaximum frequency responseinfo20 kilohertzimpedanceinfo32 ohms integrated amplifier no volume limiting function yes sound mode stereo driver size 10 millimeters connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfoyesbluetooth versioninfo4.0 maximum wireless range 32 feet water resistantinfoyes built in microphone yes carrying case yes microphone features noise cancelling  voice activated controls track selection  volume  voice assistant  call body metrics measured not applicable bone conducting technology no maximum talk time 20 hours headphone fit in ear rechargeable yesbattery lifeinfo22 hoursbattery charge timeinfo1.5 hoursbattery capacityinfo175 milliampere hours charging accessory included case  cablefast charginginfoyeson off switchinfoautomatic,product,1,in,22,1.0,cancel,resist,,2 ohms,20 hertz,,,aufqanc101
442,1604776269-16145,https://www.bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=12&id=pcmcat144700050004bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004,JBL - Club ONE Wireless Noise Cancelling Over-the-Ear Headphones - Black,https://www.bestbuy.com/site/jbl-club-one-wireless-noise-cancelling-over-the-ear-headphones-black/6408630.p?skuId=6408630,JBL - Club ONE Wireless Noise Cancelling Over-the-Ear Headphones - Black,JBLCLUBONEBLKAM,6408630,249,4.3,8,Noise Cancelling (Active) Yes Sound Mode Stereo Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoNo Built-In Microphone Yes Headphone Fit Over-the-Ear Adjustable Headband NoBattery LifeInfo45 hoursBattery Charge TimeInfo2 hours,JBL,"Product Name Club ONE Wireless Noise Cancelling Over-the-Ear Headphones Brand JBL Additional Accessories Included Hard case, 6.3 mm (1/4"") stereo adapter, in-flight plug adapter Model Number JBLCLUBONEBLKAM Color Black Color Category Black",Noise Cancelling (Active) Yes Sound Isolating YesMinimum Frequency ResponseInfo10 hertzMaximum Frequency ResponseInfo40 kilohertzImpedanceInfo32 ohms Sensitivity 95 decibels adjusted Sound Mode Stereo Driver Size 40 millimeters,Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoNoBluetooth VersionInfoOther,Built-In Microphone Yes Maximum Talk Time 45 hours,Headphone Fit Over-the-Ear,Rechargeable YesBattery LifeInfo45 hoursBattery Charge TimeInfo2 hoursBattery CapacityInfo730 milliampere hoursCharging Interface(s)InfoUSB,Product WeightInfo0.83 pounds,Manufacturer's Warranty - Parts 1 year,product name club one wireless noise cancelling over the ear headphones brand jbl additional accessories included hard case  6.3 mm  1 4   stereo adapter  in flight plug adapter model number jblcluboneblkam color black color category black noise cancelling  active  yes sound mode stereo connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfono built in microphone yes headphone fit over the ear adjustable headband nobattery lifeinfo45 hoursbattery charge timeinfo2 hours noise cancelling  active  yes sound isolating yesminimum frequency responseinfo10 hertzmaximum frequency responseinfo40 kilohertzimpedanceinfo32 ohms sensitivity 95 decibels adjusted sound mode stereo driver size 40 millimeters connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfonobluetooth versioninfoother built in microphone yes maximum talk time 45 hours headphone fit over the ear rechargeable yesbattery lifeinfo45 hoursbattery charge timeinfo2 hoursbattery capacityinfo730 milliampere hourscharging interface s infousb,product,0,,45,1.0,cancel,,,2 ohms,10 hertz,95 decibels adjusted,,jblcluboneblkam
443,1604777155-16199,https://www.bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=10&id=pcmcat144700050004bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004,Anker - Soundcore Liberty 2 Pro True Wireless In-Ear Headphones - Black,https://www.bestbuy.com/site/anker-soundcore-liberty-2-pro-true-wireless-in-ear-headphones-black/6378158.p?skuId=6378158,Anker - Soundcore Liberty 2 Pro True Wireless In-Ear Headphones - Black,A3909Z11,6378158,149,4.5,166,Sound Mode Stereo Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoYes Built-In Microphone Yes Headphone Fit In-EarBattery LifeInfo8 hours,Anker,Product Name Soundcore Liberty 2 Pro True Wireless In-Ear Headphones Brand Anker Additional Accessories Included 7 pairs of ear tips Ear Cushions Yes Model Number A3909Z11 Color Black Color Category Black,Sound Isolating No Sound Mode Stereo Driver Size 11 millimeters,Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoYesBluetooth VersionInfoOther,Built-In Microphone Yes Maximum Talk Time 8 hours,Headphone Fit In-Ear,Rechargeable YesBattery LifeInfo8 hours,Manufacturer's Warranty - Parts 18 months Manufacturer's Warranty - Labor 18 months,UPC 194644015169,product name soundcore liberty 2 pro true wireless in ear headphones brand anker additional accessories included 7 pairs of ear tips ear cushions yes model number a3909z11 color black color category black sound mode stereo connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfoyes built in microphone yes headphone fit in earbattery lifeinfo8 hours sound isolating no sound mode stereo driver size 11 millimeters connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfoyesbluetooth versioninfoother built in microphone yes maximum talk time 8 hours headphone fit in ear rechargeable yesbattery lifeinfo8 hours,product,0,in,8,1.0,isolate,,,,,,,a3909z11
